NUMERO;PALABRA;HIPONIMOS
1;antigüedad;{'octavo', 'tercero', 'cuarto', 'grado', 'segundo', 'sexto', 'primera', 'primero', 'séptimo', 'estela', 'quinto', 'reinado', 'cuarta', 'condado', 'nivel'}
2;quemazón;{'encendido'}
3;desarrollo;{'crecimiento', 'progreso', 'avance', 'hábito', 'proliferación', 'cultivo', 'elaboración', 'despliegue'}
4;reproducción;{'cruce', 'generación'}
5;explicar;{'comentar', 'describir', 'interpretar'}
6;mundo;{'naturaleza'}
7;tratamiento;{'trato', 'revelado', 'rehabilitación', 'corrección'}
8;sitio;{'coincidencia', 'tumba', 'detención', 'dirección', 'inclinación', 'puesto', 'izquierda', 'curso', 'cima', 'representación', 'cumbre', 'zona', 'espacio', 'alturas', 'parada', 'pico', 'anterioridad', 'ventaja', 'pendiente', 'derecha', 'camino', 'trayectoria'}
9;grupo;{'vegetación', 'sistema', 'pedazos', 'flota', 'procesión', 'colección', 'variedad', 'vestuario', 'mano', 'clase', 'mundo', 'dato', 'reunión', 'pueblo', 'población', 'exposición', 'multitud', 'universo', 'defensa', 'flora', 'ley', 'tránsito', 'personas', 'tesoro', 'tráfico', 'categoría', 'tierra', 'fauna', 'gente', 'set', 'mezcla', 'familia', 'repertorio', 'reino', 'ciudadanos', 'esquema', 'carrera', 'edición', 'circulación', 'ciudadanía', 'raza', 'masas', 'biología', 'combinación', 'humanidad', 'lío', 'datos', 'partida', 'peña', 'juego', 'total', 'montaña', 'totalidad', 'arreglo', 'data', 'paquete', 'suma', 'aviación', 'hombre', 'exhibición', 'montón', 'acumulación', 'biblioteca', 'compañía', 'masa'}
10;suerte;{'fracaso', 'desgracia'}
11;hombre;{'guapo', 'mozo', 'ex', 'joven', 'niño', 'mundo', 'abuelo', 'tipo', 'viejo', 'tío', 'muchacho', 'separado', 'caballero', 'tierra', 'pareja', 'compañero', 'galán', 'garzón', 'toro', 'negro', 'anciano', 'señor', 'enamorado', 'lindo', 'novio', 'chico', 'señores', 'prometido'}
12;escena;{'sede', 'sitio', 'perfil', 'oscuridad', 'fondo', 'lateral', 'lugar', 'sombra'}
13;mezclar;{'cortar', 'incorporar', 'aumentar', 'consolidar', 'caer'}
14;evocar;{'conocer', 'saber', 'estimular', 'confundir', 'forzar', 'reconocer', 'buscar', 'encender'}
15;nombre;{'título', 'marca', 'firma', 'apellido'}
16;autor;{'novelista', 'dramático', 'autora', 'negro', 'escritora', 'poeta', 'escritor', 'trágico', 'periodista', 'polémica'}
17;pedazo;{'trago', 'puñado', 'rincón', 'recorte', 'toque', 'gota', 'segmento', 'pelo', 'par', 'mínimo', 'casco', 'sombra'}
18;animales;{'hembra', 'adulta', 'caza', 'gigante', 'cría', 'adulto', 'presa', 'pareja', 'macho', 'corredor'}
19;conducta;{'manera', 'corrección', 'ciudadanía', 'agresión', 'maneras', 'talante', 'seriedad', 'procedencia', 'propiedad', 'atentado'}
20;evidencia;{'razón', 'observación', 'situación', 'rastro', 'señal', 'fundamentos', 'estado', 'síntoma', 'particular', 'punto', 'predominio', 'constancia', 'documento', 'testimonio', 'registro', 'argumento', 'signo', 'caso', 'verdad', 'detalle', 'indicador', 'principios', 'relación', 'identificación', 'pista'}
21;mamíferos;{'pan', 'dama', 'pongo', 'martes'}
22;frío;{'frialdad', 'fresco'}
23;pasado;{'historia', 'ayer'}
24;llegar;{'encontrar', 'superar', 'acercarse', 'entrar', 'presentarse', 'abordar', 'llamar', 'pretender', 'descender', 'subir', 'acceder', 'ingresar', 'cumbre', 'caer'}
25;científico;{'química', 'físico', 'matemática', 'químico', 'física', 'matemático'}
26;investigación;{'cuenta', 'solicitud', 'revisión', 'ensayo', 'comparación', 'búsqueda', 'reconocimiento', 'control', 'inspección', 'experimentación', 'mirada', 'prueba', 'seguimiento', 'revista', 'examen', 'confrontación', 'experimento', 'test', 'análisis'}
27;reacción;{'reflejo', 'paso', 'respuesta', 'equilibrio', 'reducción'}
28;hecho;{'situación', 'cortesía', 'unión', 'coincidencia', 'ruido', 'fracaso', 'toma', 'consecución', 'curso', 'incendio', 'selección', 'convergencia', 'son', 'agresión', 'cosa', 'ahorro', 'logro', 'aparición', 'éxito', 'detalle', 'indicador', 'principios', 'placer', 'oposición', 'incidente', 'observación', 'fundamentos', 'milagro', 'vez', 'inicio', 'movimiento', 'contratación', 'accidente', 'coyuntura', 'índice', 'toque', 'instancia', 'revés', 'cambio', 'acierto', 'azar', 'contacto', 'destino', 'comienzo', 'actuación', 'bondad', 'consulta', 'principio', 'evolución', 'dificultad', 'razón', 'elección', 'estado', 'ejemplo', 'modificación', 'llegada', 'particular', 'realización', 'variación', 'educación', 'descarga', 'casualidad', 'episodio', 'conclusión', 'resistencia', 'caso', 'fuego', 'problema', 'pausa', 'desaparición', 'cumplimiento', 'final', 'estallido', 'experiencia', 'punto', 'interacción', 'desempeño', 'ejecución', 'registro', 'maravilla', 'sonido', 'verdad', 'quiebra', 'relación', 'alteración'}
29;investigador;{'inspector', 'protector'}
30;materia;{'barro', 'sistema', 'rocas', 'polvo', 'área', 'fluido', 'cama', 'basura', 'relleno', 'fibra', 'titular', 'tierra', 'sólido', 'partículas', 'terreno', 'espuma', 'molécula', 'corteza', 'color', 'papel', 'suelo', 'conductor', 'depósito', 'mineral', 'aspecto', 'roca', 'emisión', 'campo', 'químico', 'contaminación', 'lecho', 'minerales', 'piel', 'cuestión', 'problema', 'material', 'piedra'}
31;cuenta;{'balance', 'censo', 'impuesto', 'nota', 'recuento'}
32;hueso;{'rama', 'temporal', 'cráneo', 'diente', 'dientes', 'cuerpo'}
33;bien;{'fuerte', 'fortuna', 'producto', 'patrimonio', 'mercancías', 'mercancía', 'efectos', 'haber', 'especialidad', 'mejor', 'especialización', 'artículo', 'hacienda', 'exportación', 'exportaciones', 'herencia', 'importación', 'nombre', 'validez', 'oficio', 'importaciones', 'valores', 'cosas', 'género', 'recurso', 'riqueza'}
34;proceso;{'fenómeno', 'incremento', 'aumento', 'cálculo', 'desarrollo', 'reducción', 'juicio', 'fortalecimiento', 'marcha', 'revisión', 'procesado', 'rutina', 'crecimiento', 'fórmula', 'cola', 'tratamiento', 'funcionamiento', 'acción', 'ejecución', 'procesamiento', 'disminución', 'función', 'fotografía', 'evolución'}
35;abrigo;{'refugio', 'protector', 'santuario', 'cuero', 'tienda', 'asilo'}
36;figura;{'tejido', 'ampliación', 'heroína', 'dios', 'señal', 'escena', 'retrato', 'acercamiento', 'mapa', 'exposición', 'persona', 'foto', 'silueta', 'carbón', 'sólido', 'galán', 'documento', 'esquema', 'copia', 'mapas', 'belén', 'presentación', 'estudio', 'réplica', 'imagen', 'reina', 'muestra', 'dibujo', 'rey', 'marca', 'plano', 'proyección', 'exhibición', 'héroe', 'malo', 'fotografía', 'lámina'}
37;haber;{'llenar', 'seguir', 'ir', 'cubrir', 'pasar', 'continuar', 'venir', 'sentarse', 'vivir', 'asistir', 'tocar', 'obtener', 'ampliar', 'ocupar', 'acudir', 'pertenecer', 'resultar', 'llevar', 'dirigir', 'alejarse', 'dar'}
38;tierra;{'barro', 'morena', 'arena', 'islas', 'continental', 'finca', 'bosque', 'llano', 'plana', 'hacienda', 'reino', 'patria', 'continente', 'isla', 'campo', 'selva', 'granja', 'cabo', 'península', 'américa', 'cuba', 'campaña'}
39;conjunto;{'vegetación', 'pedazos', 'flota', 'procesión', 'unión', 'variedad', 'vestuario', 'organismo', 'mano', 'dientes', 'intervalo', 'núcleo', 'clase', 'dato', 'reunión', 'triple', 'población', 'exposición', 'ley', 'universo', 'defensa', 'flora', 'tránsito', 'tesoro', 'tráfico', 'categoría', 'set', 'fauna', 'mezcla', 'familia', 'repertorio', 'ajedrez', 'circulación', 'ser', 'biología', 'combinación', 'campo', 'lío', 'datos', 'partida', 'dominio', 'cuerpo', 'par', 'peña', 'lugar', 'juego', 'total', 'montaña', 'paquete', 'suma', 'aviación', 'exhibición', 'montón', 'biblioteca', 'compañía', 'data'}
40;método;{'solución', 'sistema', 'técnica', 'metodología'}
41;ambiente;{'atmósfera', 'oscuridad', 'habitación', 'penumbra', 'hábitat'}
42;campo;{'arquitectura', 'provincia', 'arena', 'patio', 'jurisdicción', 'tecnología', 'prado', 'pasto', 'circuito', 'artes', 'llano', 'ingeniería', 'interior', 'competencia', 'cultivo', 'letras', 'cancha', 'corral', 'teología', 'campamento', 'ciencia', 'circo', 'poder', 'función', 'pista', 'ciencias'}
43;actualidad;{'ahora', 'hoy', 'momento', 'modernidad'}
44;problema;{'trago', 'malestar', 'sufrimiento', 'inconveniente', 'través', 'escándalo', 'tensión', 'agonía', 'pesar', 'freno', 'estrés', 'lío', 'desgracia', 'infierno', 'misterio', 'muro', 'caso'}
45;falta;{'mancha', 'libertad', 'error', 'plancha', 'lío', 'hambre', 'caída', 'olvido', 'aceptación', 'confusión', 'ausencia'}
46;clave;{'cifra'}
47;trayectoria;{'oeste', 'calle', 'carretera', 'canal', 'pasaje', 'acceso', 'flujo', 'cuarta', 'senda', 'orientación', 'escalera', 'entrada', 'rumbo', 'tendencia', 'cinturón', 'corriente', 'enfoque', 'paso', 'sentido', 'trazado', 'oposición'}
48;son;{'campana', 'timbre', 'melodía', 'llamada', 'canto', 'paso', 'estallido', 'rumor', 'canción', 'ruido', 'voz'}
49;paso;{'boca', 'túnel', 'lentitud', 'prioridad', 'galería', 'rapidez', 'precaución', 'col', 'entrada', 'ingreso', 'acceso', 'corredor', 'calma', 'cuello', 'pasillo', 'garganta', 'prevención'}
50;advertencia;{'recomendación', 'campana', 'alerta', 'amenaza'}
51;equipo;{'defensa', 'dispositivo', 'material', 'satélite', 'iluminación', 'aparato'}
52;especie;{'marca', 'estilo', 'semejante', 'índole', 'variedad', 'modelo', 'gusto', 'sabor'}
53;desaparición;{'fallecimiento', 'tránsito', 'martirio', 'trance', 'pérdida', 'ingreso', 'liberación'}
54;muestra;{'presentación', 'espectáculo', 'proyección', 'imagen', 'norte', 'circo', 'paradigma', 'modelo', 'visión', 'feria', 'original', 'guía', 'plantilla', 'entrega'}
55;estudio;{'ciencias', 'artes', 'ensayo', 'solicitud', 'teología', 'plano', 'test', 'arquitectura', 'prueba', 'experimentación', 'encuesta', 'ingeniería', 'ciencia', 'tecnología', 'emisora', 'experimento', 'diseño', 'letras', 'estampa'}
56;director;{'canciller', 'rector'}
57;cazar;{'intervenir', 'detener'}
58;imagen;{'ampliación', 'escena', 'retrato', 'acercamiento', 'impresión', 'silueta', 'concentrado', 'carbón', 'gráfico', 'visión', 'galán', 'paisaje', 'esquema', 'abstracción', 'estudio', 'desnudo', 'plano', 'montaje', 'sueño', 'soñar', 'metáfora', 'ironía', 'panorama', 'transparencia'}
59;era;{'antigüedad', 'cuadro', 'renacimiento', 'restauración', 'reconstrucción', 'reinado', 'jardín', 'barroco', 'lecho'}
60;causa;{'humano', 'oculto', 'juicio', 'individuo', 'factor', 'motor', 'productor', 'persona', 'peligro', 'mortal', 'motivo', 'alma', 'ser', 'agente', 'fuerza', 'reforma', 'destino', 'naturaleza', 'poder', 'porqué', 'ocasión', 'candidatura', 'operador'}
61;corte;{'falda', 'recorte', 'tapa', 'pierna', 'pecho', 'cuello', 'lomo'}
62;edad;{'novedad', 'vejez', 'mayoría', 'minoría'}
63;recorrer;{'ver', 'visitar', 'pasar'}
64;fascinación;{'invitación'}
65;introducción;{'prólogo', 'inyección'}
66;acción;{'combate', 'disputa', 'emergencia', 'elección', 'cortesía', 'rechazo', 'extinción', 'evaluación', 'curación', 'llegada', 'juicio', 'detención', 'contratación', 'comportamiento', 'marcha', 'toma', 'duelo', 'interacción', 'hallazgo', 'estancia', 'consecución', 'realización', 'pérdida', 'pelea', 'curso', 'alojamiento', 'educación', 'conducta', 'descarga', 'sucesión', 'selección', 'flujo', 'liberación', 'dispersión', 'funcionamiento', 'superación', 'comunicación', 'contienda', 'desempeño', 'ejecución', 'agresión', 'cosa', 'asalto', 'resistencia', 'hecho', 'recuperación', 'encuentro', 'emisión', 'obstáculo', 'cambio', 'ahorro', 'partida', 'enfrentamiento', 'actividad', 'difusión', 'logro', 'juego', 'parada', 'salida', 'valoración', 'ida', 'agencia', 'cumplimiento', 'contacto', 'disolución', 'permanencia', 'distribución', 'descubrimiento', 'actuación', 'absorción', 'residencia', 'uso', 'manejo', 'captura', 'extracción', 'bondad', 'consulta', 'oposición', 'adquisición'}
67;resto;{'punta', 'saldo', 'fósiles', 'restos'}
68;gente;{'electorado', 'nación', 'herido', 'clase', 'mundo', 'generación', 'público', 'clientela', 'contemporáneos', 'valiente', 'audiencia', 'fallecido', 'parroquia', 'base', 'nacionalidad', 'difunto', 'muerto', 'seguidores', 'enemigo', 'enfermo', 'negocio', 'muerta', 'sangre', 'país'}
69;nuevas;{'actualización'}
70;indicio;{'manifestación', 'huella', 'rastro', 'indicación', 'gesto', 'muestra', 'síntoma', 'signo', 'pista', 'marca'}
71;área;{'sección', 'era', 'recinto', 'arquitectura', 'provincia', 'blanco', 'manzana', 'escena', 'arena', 'tronco', 'patio', 'jurisdicción', 'tecnología', 'pasillo', 'orquesta', 'planta', 'cuadra', 'refugio', 'palma', 'cuarto', 'terraza', 'artes', 'arco', 'rincón', 'nave', 'escenario', 'esquina', 'ingeniería', 'competencia', 'letras', 'ojo', 'lado', 'corazón', 'depósito', 'vientre', 'espacio', 'cintura', 'costado', 'callejón', 'sala', 'teología', 'auditorio', 'superficie', 'centro', 'ciencia', 'habitación', 'retiro', 'poder', 'función', 'ciencias'}
72;condiciones;{'ambiente', 'clima', 'viento', 'atmósfera', 'aire', 'ola'}
73;historia;{'cuento', 'asunto', 'mito', 'leyenda', 'relato', 'boletín', 'comunicado', 'parte', 'argumento', 'biografía', 'exclusiva', 'trama', 'despacho'}
74;clima;{'ambiente', 'viento', 'atmósfera', 'aire', 'ola'}
75;oscuridad;{'noche'}
76;trabajo;{'faena', 'atención', 'dedicación', 'operación', 'navegación', 'servicios', 'central', 'cargo', 'contratación', 'publicación', 'finca', 'cura', 'puesto', 'estancia', 'proyecto', 'taller', 'hacienda', 'oficina', 'nombramiento', 'designación', 'servicio', 'lavado', 'agricultura', 'labor', 'caza', 'cuidados', 'contabilidad', 'investigación', 'esclavitud', 'estudio', 'laboratorio', 'oficio', 'afán', 'lugar', 'granja', 'procedimiento', 'vocación', 'ayuda', 'posición', 'misión', 'deporte', 'hueso', 'prestación', 'esfuerzo', 'negocio', 'tarea', 'entrenamiento', 'fotografía', 'cuidado'}
77;discusión;{'ampliación', 'charla', 'negociación', 'choque', 'detalle', 'conversación', 'pelea', 'diálogo', 'congreso', 'argumento', 'palabras', 'gestión', 'conferencia', 'polémica', 'consideración', 'tormenta'}
78;local;{'fuente', 'tránsito', 'estación', 'agua', 'depósito', 'campo', 'canal', 'foro', 'transporte', 'instalación', 'almacén', 'pista'}
79;tergiversar;{'afectar', 'alterar', 'confundir', 'pretender'}
80;hacer;{'montar', 'incorporar', 'evitar', 'continuar', 'acompañar', 'articular', 'pase', 'interpretar', 'estimular', 'participar', 'imponer', 'desarrollar', 'acabar', 'concebir', 'acudir', 'encender', 'comenzar', 'generar', 'establecer', 'proceder', 'probar', 'reaccionar', 'iniciar', 'atacar', 'ir', 'abordar', 'advertir', 'llamar', 'levantar', 'terminar', 'emprender', 'hacerse', 'impulsar', 'preparar', 'jugar', 'reconstruir', 'avanzar', 'acelerar', 'esperar', 'cortar', 'intervenir', 'escribir', 'solicitar', 'intentar', 'efectuar', 'llevar', 'influir', 'ofrecer', 'contestar', 'echar', 'prever', 'exponer', 'nombrar', 'abrir', 'buscar', 'ejercer', 'determinar', 'soportar', 'conducir', 'repetir', 'diseñar', 'satisfacer', 'confundir', 'pretender', 'responder', 'ganar', 'afrontar', 'dar', 'seguir', 'traer', 'practicar', 'organizar', 'pasar', 'rendir', 'entregar', 'publicar', 'poner', 'pagar', 'aparecer', 'servir', 'reproducir', 'tratar', 'guardar', 'rodar', 'despertar', 'presentar', 'cobrar', 'convencer', 'forzar', 'empezar', 'finalizar'}
81;batalla;{'combate', 'justa', 'duelo', 'disputa', 'contienda', 'rebelión', 'guerra', 'asalto', 'enfrentamiento', 'pelea', 'levantamiento', 'encuentro', 'torneo', 'superación', 'acción'}
82;embargo;{'impresión'}
83;caballo;{'entero', 'heroína'}
84;conocer;{'comprender', 'entender', 'dominar', 'cruzar', 'advertir', 'controlar', 'reconocer'}
85;fotografía;{'ampliación', 'cine', 'montaje', 'escena', 'rodaje', 'gráfico', 'galán', 'acercamiento', 'exposición', 'panorama', 'transparencia'}
86;vera;{'ribera'}
87;gracias;{'apreciación'}
88;hacienda;{'granja', 'huerta'}
89;animal;{'hembra', 'adulta', 'caza', 'gigante', 'cría', 'adulto', 'pareja', 'presa', 'macho', 'corredor'}
90;fuego;{'incendio', 'descarga', 'estallido', 'salva'}
91;alto;{'parada', 'término', 'detención', 'cese'}
92;humana;{'hombre', 'tierra', 'mundo', 'humanidad'}
93;daño;{'cardenal', 'golpe', 'picada', 'escalera', 'corrida', 'lesión', 'herida', 'carrera'}
94;ganar;{'encontrar', 'llevarse', 'dominar', 'pasar', 'arreglar', 'rendir', 'aprobar', 'recuperar', 'aprovechar', 'producir', 'pagar', 'curar', 'engañar', 'destruir', 'mejorar', 'alcanzar', 'pretender', 'llegar', 'cumbre', 'imponerse', 'marcar', 'realizar', 'aumentar', 'completar', 'acceder', 'funcionar', 'salvar', 'dar'}
95;foto;{'ampliación', 'montaje', 'escena', 'gráfico', 'galán', 'acercamiento', 'panorama', 'transparencia'}
96;mar;{'mediterráneo', 'abismo'}
97;largo;{'calibre', 'radio', 'diámetro'}
98;agricultor;{'agrícola'}
99;tecnología;{'informática'}
100;rol;{'posición', 'sitio', 'puesto', 'cartera', 'lugar'}
101;doctor;{'cirujano', 'interno', 'residente'}
102;humano;{'habitantes', 'víctima', 'portavoz', 'morena', 'factor', 'máquina', 'juez', 'igual', 'contraria', 'persona', 'raro', 'bueno', 'vecino', 'sentimental', 'investigador', 'descontento', 'negro', 'guerrero', 'imagen', 'humanidad', 'éxito', 'difunto', 'torero', 'pantalla', 'adulto', 'trabajador', 'candidato', 'parte', 'terror', 'ingeniero', 'sospechoso', 'conocido', 'amo', 'adversario', 'blanco', 'optimista', 'dirigente', 'niño', 'salvador', 'rubio', 'latino', 'especial', 'ganador', 'amistad', 'partidario', 'cara', 'mejor', 'intelectual', 'cita', 'estudiante', 'defensor', 'niña', 'radical', 'africano', 'esclavo', 'maestro', 'débil', 'artista', 'amante', 'novio', 'extraño', 'inocente', 'prima', 'vocero', 'mayor', 'adoptada', 'primitivo', 'intérprete', 'enemigo', 'citado', 'moreno', 'ama', 'judío', 'disminuido', 'residente', 'moderno', 'adoptado', 'sordo', 'mundo', 'contrario', 'tipo', 'gobernante', 'asesino', 'autoridad', 'fallecido', 'gobernador', 'vida', 'nombramiento', 'aficionado', 'representante', 'jugador', 'desnudo', 'torpe', 'viajero', 'macho', 'dueño', 'amigo', 'creador', 'colaborador', 'personaje', 'ratón', 'hombre', 'experto', 'par', 'malo', 'muerta', 'rico', 'científico', 'mandatario', 'ciudadano', 'socio', 'testigo', 'turista', 'actor', 'rubia', 'calvo', 'dueña', 'hembra', 'amenaza', 'espectador', 'varón', 'tierra', 'líder', 'romántico', 'vecina', 'tigre', 'rica', 'adulta', 'capitalista', 'propietario', 'negra', 'enamorado', 'simple', 'amiga', 'menor', 'muerto', 'esperanza', 'indígena', 'juvenil', 'científica', 'masculino', 'primo', 'doble', 'observador', 'soberano', 'natural', 'usuario'}
103;saber;{'cerebro', 'información', 'equivalente', 'dominar', 'actitud', 'prever', 'disposición', 'ingenio', 'sitio', 'postura', 'práctica', 'capacidad', 'acto', 'cabeza', 'proceso', 'historia', 'controlar', 'espacio', 'lugar', 'prevenir', 'mente', 'incapacidad', 'poder', 'percepción', 'probar'}
104;romper;{'meterse', 'mover', 'guardar', 'detenerse', 'explotar', 'unirse', 'incorporarse'}
105;asociación;{'colegio', 'administración', 'colonia', 'jefatura', 'jurado', 'inspección', 'sector', 'cooperativa', 'universidad', 'público', 'dirección', 'sociedad', 'claustro', 'alianza', 'escuela', 'mando', 'gremio', 'sindicato', 'banda', 'delegación', 'conferencia', 'ramo', 'institución', 'instituto', 'facultad', 'consorcio', 'inmigración', 'liga', 'poblado', 'liderazgo', 'oposición'}
106;separar;{'escolar', 'romper', 'terminar', 'abandonar', 'extraer', 'impresión', 'contar'}
107;trata;{'administrar', 'operar', 'corregir', 'intervenir', 'aliviar', 'atender', 'tratar', 'analizar'}
108;dejar;{'integrar', 'quitar', 'iniciar', 'colocar', 'ir', 'salir', 'levantar', 'arreglar', 'meter', 'evitar', 'incluir', 'devolver', 'tirar', 'aprobar', 'disponer', 'impedir', 'poner', 'sufrir', 'sentarse', 'descansar', 'soportar', 'apoyar', 'avanzar', 'abrirse', 'caer', 'introducir', 'permitir', 'confiar', 'situar', 'contemplar', 'aguantar', 'eliminar', 'retirar', 'correr', 'acudir', 'recordar', 'admitir', 'separar', 'adelantar', 'favorecer', 'cerrar', 'instalar'}
109;cosas;{'rocas', 'polvo', 'cama', 'basura', 'relleno', 'fibra', 'tierra', 'partículas', 'espuma', 'molécula', 'corteza', 'color', 'papel', 'suelo', 'conductor', 'mineral', 'roca', 'emisión', 'químico', 'contaminación', 'lecho', 'minerales', 'piel', 'material', 'piedra'}
110;oficina;{'administración', 'hacienda', 'sede', 'embajada', 'aduanas', 'alcaldía', 'redacción', 'profesorado', 'jefatura', 'presidencia', 'aprendizaje', 'secretaría', 'cancillería', 'comité', 'trono', 'órgano', 'cátedra', 'ponencia', 'dirección'}
111;precisión;{'fidelidad'}
112;científica;{'química', 'físico', 'matemática', 'químico', 'física', 'matemático', 'investigador'}
113;piedra;{'cristal', 'cálculo', 'china', 'peña', 'bloque', 'mármol'}
114;tiempo;{'viento', 'continuidad', 'porvenir', 'futuro', 'clima', 'actualidad', 'infinito', 'pasado', 'instante', 'hora', 'ambiente', 'segundo', 'mañana', 'continuo', 'duración', 'aire', 'ola', 'perfecto', 'rato', 'presente', 'minuto', 'día', 'atmósfera', 'eternidad', 'permanencia', 'antaño'}
