NUMERO;PALABRA;ORDEN
1;abajo;INICIO
2;abandonado;NORMAL
3;abandonar;NORMAL
4;abandono;NORMAL
5;abandonó;NORMAL
6;abc;NORMAL
7;abierta;NORMAL
8;abiertas;NORMAL
9;abierto;NORMAL
10;abiertos;NORMAL
11;abogado;NORMAL
12;abogados;NORMAL
13;abre;NORMAL
14;abril;NORMAL
15;abrir;NORMAL
16;abrió;NORMAL
17;absoluta;NORMAL
18;absolutamente;NORMAL
19;absoluto;NORMAL
20;absurdo;NORMAL
21;abuela;NORMAL
22;abuelo;NORMAL
23;abundante;NORMAL
24;acaba;NORMAL
25;acababa;NORMAL
26;acabado;NORMAL
27;acabar;NORMAL
28;acabó;NORMAL
29;academia;NORMAL
30;académico;NORMAL
31;acaso;NORMAL
32;acceder;NORMAL
33;acceso;NORMAL
34;accidente;NORMAL
35;accidentes;NORMAL
36;acciones;NORMAL
37;acción;NORMAL
38;aceite;NORMAL
39;acepta;NORMAL
40;aceptación;NORMAL
41;aceptado;NORMAL
42;aceptar;NORMAL
43;aceptó;NORMAL
44;acerca;NORMAL
45;acercarse;NORMAL
46;acercó;NORMAL
47;acero;NORMAL
48;aclarar;NORMAL
49;acompaña;NORMAL
50;acompañado;NORMAL
51;acontecimiento;NORMAL
52;acontecimientos;NORMAL
53;actitud;NORMAL
54;actitudes;NORMAL
55;activa;NORMAL
56;actividad;NORMAL
57;actividades;NORMAL
58;activo;NORMAL
59;activos;NORMAL
60;acto;NORMAL
61;actor;NORMAL
62;actores;NORMAL
63;actos;NORMAL
64;actriz;NORMAL
65;actuaciones;NORMAL
66;actuación;NORMAL
67;actual;NORMAL
68;actuales;NORMAL
69;actualidad;NORMAL
70;actualmente;NORMAL
71;actuar;NORMAL
72;actúa;NORMAL
73;actúan;NORMAL
74;acudir;NORMAL
75;acuerdo;NORMAL
76;acuerdos;NORMAL
77;acumulación;NORMAL
78;acusaciones;NORMAL
79;acusación;NORMAL
80;acusado;NORMAL
81;acá;NORMAL
82;adaptación;NORMAL
83;adecuada;NORMAL
84;adecuado;NORMAL
85;adelante;NORMAL
86;además;NORMAL
87;adentro;NORMAL
88;administraciones;NORMAL
89;administración;NORMAL
90;administrativa;NORMAL
91;administrativo;NORMAL
92;admiración;NORMAL
93;admite;NORMAL
94;adn;NORMAL
95;adolescente;NORMAL
96;adolescentes;NORMAL
97;adolfo;NORMAL
98;adoptar;NORMAL
99;adquiere;NORMAL
100;adquirido;NORMAL
101;adquirir;NORMAL
102;adquisición;NORMAL
103;adultos;NORMAL
104;advierte;NORMAL
105;advirtió;NORMAL
106;aeropuerto;NORMAL
107;afecta;NORMAL
108;afectado;NORMAL
109;afectados;NORMAL
110;afectan;NORMAL
111;aficionados;NORMAL
112;afición;NORMAL
113;afirma;NORMAL
114;afirmación;NORMAL
115;afirmar;NORMAL
116;afirmó;NORMAL
117;afp;NORMAL
118;afrontar;NORMAL
119;afuera;NORMAL
120;afán;NORMAL
121;agencia;NORMAL
122;agencias;NORMAL
123;agenda;NORMAL
124;agente;NORMAL
125;agentes;NORMAL
126;agosto;NORMAL
127;agradable;NORMAL
128;agrega;NORMAL
129;agregar;NORMAL
130;agregó;NORMAL
131;agresión;NORMAL
132;agricultura;NORMAL
133;agrícola;NORMAL
134;agrícolas;NORMAL
135;agua;NORMAL
136;aguas;NORMAL
137;agustín;NORMAL
138;ahora;NORMAL
139;ahorro;NORMAL
140;ahí;NORMAL
141;aire;NORMAL
142;aires;NORMAL
143;aislamiento;NORMAL
144;ajeno;NORMAL
145;ajo;NORMAL
146;ajuste;NORMAL
147;alarma;NORMAL
148;alas;NORMAL
149;alba;NORMAL
150;alberto;NORMAL
151;alcalde;NORMAL
152;alcance;NORMAL
153;alcanza;NORMAL
154;alcanzado;NORMAL
155;alcanzar;NORMAL
156;alcanzó;NORMAL
157;alcohol;NORMAL
158;alegre;NORMAL
159;alegría;NORMAL
160;alejandro;NORMAL
161;alemana;NORMAL
162;alemanes;NORMAL
163;alemania;NORMAL
164;alemán;NORMAL
165;alerta;NORMAL
166;alfonso;NORMAL
167;alfredo;NORMAL
168;aliados;NORMAL
169;alianza;NORMAL
170;alicia;NORMAL
171;aliento;NORMAL
172;alimentación;NORMAL
173;alimento;NORMAL
174;alimentos;NORMAL
175;allá;NORMAL
176;allí;NORMAL
177;alma;NORMAL
178;almuerzo;NORMAL
179;alonso;NORMAL
180;alrededor;NORMAL
181;alta;NORMAL
182;altas;NORMAL
183;alteraciones;NORMAL
184;alternativa;NORMAL
185;alternativas;NORMAL
186;alto;NORMAL
187;altos;NORMAL
188;altura;NORMAL
189;alturas;NORMAL
190;alumno;NORMAL
191;alumnos;NORMAL
192;alvarez;NORMAL
193;alza;NORMAL
194;ama;NORMAL
195;amanecer;NORMAL
196;amante;NORMAL
197;amarillo;NORMAL
198;ambiental;NORMAL
199;ambiente;NORMAL
200;amenaza;NORMAL
201;amenazas;NORMAL
202;americana;NORMAL
203;americano;NORMAL
204;americanos;NORMAL
205;amiga;NORMAL
206;amigo;NORMAL
207;amigos;NORMAL
208;amistad;NORMAL
209;amo;NORMAL
210;amor;NORMAL
211;amparo;NORMAL
212;amplia;NORMAL
213;ampliación;NORMAL
214;ampliar;NORMAL
215;amplio;NORMAL
216;américa;NORMAL
217;ana;NORMAL
218;analizar;NORMAL
219;ancho;NORMAL
220;and;NORMAL
221;anda;NORMAL
222;andalucía;NORMAL
223;andar;NORMAL
224;andrés;NORMAL
225;angel;NORMAL
226;angeles;NORMAL
227;angustia;NORMAL
228;animal;NORMAL
229;animales;NORMAL
230;aniversario;NORMAL
231;anoche;NORMAL
232;ansiedad;NORMAL
233;antecedentes;NORMAL
234;antena;NORMAL
235;anterior;NORMAL
236;anteriores;NORMAL
237;anteriormente;NORMAL
238;antes;NORMAL
239;antigua;NORMAL
240;antiguas;NORMAL
241;antiguo;NORMAL
242;antiguos;NORMAL
243;antigüedad;NORMAL
244;antonio;NORMAL
245;anual;NORMAL
246;anuales;NORMAL
247;anuncia;NORMAL
248;anunciado;NORMAL
249;anuncio;NORMAL
250;anunció;NORMAL
251;análisis;NORMAL
252;aparato;NORMAL
253;aparatos;NORMAL
254;aparece;NORMAL
255;aparecen;NORMAL
256;aparecer;NORMAL
257;apareció;NORMAL
258;aparecía;NORMAL
259;aparente;NORMAL
260;aparentemente;NORMAL
261;aparición;NORMAL
262;apariencia;NORMAL
263;apartado;NORMAL
264;aparte;NORMAL
265;apenas;NORMAL
266;apertura;NORMAL
267;aplica;NORMAL
268;aplicaciones;NORMAL
269;aplicación;NORMAL
270;aplicar;NORMAL
271;aporte;NORMAL
272;apoya;NORMAL
273;apoyar;NORMAL
274;apoyo;NORMAL
275;apreciar;NORMAL
276;aprender;NORMAL
277;aprendido;NORMAL
278;aprendizaje;NORMAL
279;aprobación;NORMAL
280;aprobado;NORMAL
281;aprobó;NORMAL
282;aprovechar;NORMAL
283;aproximadamente;NORMAL
284;apunta;NORMAL
285;aquél;NORMAL
286;aquí;NORMAL
287;aragón;NORMAL
288;archivo;NORMAL
289;arco;NORMAL
290;arena;NORMAL
291;argentina;NORMAL
292;argentino;NORMAL
293;argentinos;NORMAL
294;argumento;NORMAL
295;argumentos;NORMAL
296;arias;NORMAL
297;arma;NORMAL
298;armada;NORMAL
299;armadas;NORMAL
300;armado;NORMAL
301;armados;NORMAL
302;armas;NORMAL
303;armonía;NORMAL
304;arquitecto;NORMAL
305;arquitectura;NORMAL
306;arreglo;NORMAL
307;arriba;NORMAL
308;arroz;NORMAL
309;art;NORMAL
310;arte;NORMAL
311;artes;NORMAL
312;artificial;NORMAL
313;artista;NORMAL
314;artistas;NORMAL
315;arturo;NORMAL
316;artículo;NORMAL
317;artículos;NORMAL
318;artística;NORMAL
319;artístico;NORMAL
320;asalto;NORMAL
321;asamblea;NORMAL
322;ascenso;NORMAL
323;asegura;NORMAL
324;aseguran;NORMAL
325;asegurar;NORMAL
326;aseguró;NORMAL
327;asesinado;NORMAL
328;asesinato;NORMAL
329;asesor;NORMAL
330;asia;NORMAL
331;asiento;NORMAL
332;asimismo;NORMAL
333;asistencia;NORMAL
334;asistentes;NORMAL
335;asistir;NORMAL
336;asociaciones;NORMAL
337;asociación;NORMAL
338;asociados;NORMAL
339;aspecto;NORMAL
340;aspectos;NORMAL
341;asturias;NORMAL
342;asumir;NORMAL
343;asunto;NORMAL
344;asuntos;NORMAL
345;así;NORMAL
346;ataque;NORMAL
347;ataques;NORMAL
348;atención;NORMAL
349;atender;NORMAL
350;atentado;NORMAL
351;atentados;NORMAL
352;atlántico;NORMAL
353;atlético;NORMAL
354;atmósfera;NORMAL
355;atractivo;NORMAL
356;atrás;NORMAL
357;audiencia;NORMAL
358;aumenta;NORMAL
359;aumentar;NORMAL
360;aumento;NORMAL
361;aun;NORMAL
362;ausencia;NORMAL
363;auto;NORMAL
364;automóvil;NORMAL
365;automóviles;NORMAL
366;autonomía;NORMAL
367;autor;NORMAL
368;autores;NORMAL
369;autoridad;NORMAL
370;autoridades;NORMAL
371;autorización;NORMAL
372;auténtica;NORMAL
373;auténtico;NORMAL
374;autónoma;NORMAL
375;autónomas;NORMAL
376;avance;NORMAL
377;avances;NORMAL
378;avanzar;NORMAL
379;avenida;NORMAL
380;aventura;NORMAL
381;aves;NORMAL
382;aviones;NORMAL
383;aviso;NORMAL
384;avión;NORMAL
385;ayer;NORMAL
386;ayuda;NORMAL
387;ayudar;NORMAL
388;ayudas;NORMAL
389;ayuntamiento;NORMAL
390;azar;NORMAL
391;aznar;NORMAL
392;azul;NORMAL
393;azules;NORMAL
394;azúcar;NORMAL
395;aérea;NORMAL
396;añade;NORMAL
397;añadir;NORMAL
398;añadió;NORMAL
399;año;NORMAL
400;años;NORMAL
401;aún;NORMAL
402;b;INICIO
403;bahía;NORMAL
404;bailar;NORMAL
405;baile;NORMAL
406;baja;NORMAL
407;bajar;NORMAL
408;bajas;NORMAL
409;bajos;NORMAL
410;bajó;NORMAL
411;balance;NORMAL
412;balón;NORMAL
413;banca;NORMAL
414;banco;NORMAL
415;bancos;NORMAL
416;banda;NORMAL
417;bandas;NORMAL
418;bandera;NORMAL
419;banesto;NORMAL
420;bar;NORMAL
421;barba;NORMAL
422;barcelona;NORMAL
423;barco;NORMAL
424;barcos;NORMAL
425;barra;NORMAL
426;barrera;NORMAL
427;barrio;NORMAL
428;barrios;NORMAL
429;barro;NORMAL
430;basa;NORMAL
431;basada;NORMAL
432;basado;NORMAL
433;base;NORMAL
434;bases;NORMAL
435;basta;NORMAL
436;bastante;NORMAL
437;basura;NORMAL
438;batalla;NORMAL
439;baño;NORMAL
440;beber;NORMAL
441;bebidas;NORMAL
442;bebé;NORMAL
443;bella;NORMAL
444;bellas;NORMAL
445;belleza;NORMAL
446;bello;NORMAL
447;beneficio;NORMAL
448;beneficios;NORMAL
449;berlín;NORMAL
450;bernardo;NORMAL
451;beso;NORMAL
452;biblioteca;NORMAL
453;bien;NORMAL
454;bienes;NORMAL
455;bienestar;NORMAL
456;bilbao;NORMAL
457;blanca;NORMAL
458;blancas;NORMAL
459;blanco;NORMAL
460;blancos;NORMAL
461;bloque;NORMAL
462;boca;NORMAL
463;boda;NORMAL
464;bogotá;NORMAL
465;bolivia;NORMAL
466;bolsa;NORMAL
467;bolsillo;NORMAL
468;bolívar;NORMAL
469;bomba;NORMAL
470;borde;NORMAL
471;bosque;NORMAL
472;bosques;NORMAL
473;botella;NORMAL
474;brasil;NORMAL
475;brasileño;NORMAL
476;brazo;NORMAL
477;brazos;NORMAL
478;bretaña;NORMAL
479;breve;NORMAL
480;breves;NORMAL
481;brillante;NORMAL
482;británica;NORMAL
483;británico;NORMAL
484;bruselas;NORMAL
485;buen;NORMAL
486;buena;NORMAL
487;buenas;NORMAL
488;bueno;NORMAL
489;buenos;NORMAL
490;burgos;NORMAL
491;burguesía;NORMAL
492;busca;NORMAL
493;buscaba;NORMAL
494;buscan;NORMAL
495;buscando;NORMAL
496;buscar;NORMAL
497;bush;NORMAL
498;básica;NORMAL
499;básicamente;NORMAL
500;básicas;NORMAL
501;básico;NORMAL
502;básicos;NORMAL
503;búsqueda;NORMAL
504;c;INICIO
505;caballero;NORMAL
506;caballo;NORMAL
507;caballos;NORMAL
508;cabe;NORMAL
509;cabello;NORMAL
510;cabeza;NORMAL
511;cabezas;NORMAL
512;cabo;NORMAL
513;cadena;NORMAL
514;cadenas;NORMAL
515;cadáver;NORMAL
516;cae;NORMAL
517;caer;NORMAL
518;café;NORMAL
519;caja;NORMAL
520;cajas;NORMAL
521;calderón;NORMAL
522;caldo;NORMAL
523;calendario;NORMAL
524;calidad;NORMAL
525;caliente;NORMAL
526;calificó;NORMAL
527;california;NORMAL
528;calle;NORMAL
529;calles;NORMAL
530;calma;NORMAL
531;calor;NORMAL
532;cama;NORMAL
533;cambia;NORMAL
534;cambiado;NORMAL
535;cambiar;NORMAL
536;cambio;NORMAL
537;cambios;NORMAL
538;cambió;NORMAL
539;caminar;NORMAL
540;camino;NORMAL
541;caminos;NORMAL
542;camisa;NORMAL
543;camión;NORMAL
544;campaña;NORMAL
545;campañas;NORMAL
546;campeonato;NORMAL
547;campesinos;NORMAL
548;campeón;NORMAL
549;campo;NORMAL
550;campos;NORMAL
551;canadá;NORMAL
552;canal;NORMAL
553;canales;NORMAL
554;canarias;NORMAL
555;cancha;NORMAL
556;canciller;NORMAL
557;canciones;NORMAL
558;canción;NORMAL
559;candidato;NORMAL
560;candidatos;NORMAL
561;candidatura;NORMAL
562;cansancio;NORMAL
563;cantante;NORMAL
564;cantar;NORMAL
565;cantidad;NORMAL
566;cantidades;NORMAL
567;canto;NORMAL
568;caos;NORMAL
569;capa;NORMAL
570;capaces;NORMAL
571;capacidad;NORMAL
572;capaz;NORMAL
573;capital;NORMAL
574;capitales;NORMAL
575;capitalismo;NORMAL
576;capitán;NORMAL
577;capítulo;NORMAL
578;capítulos;NORMAL
579;cara;NORMAL
580;caracas;NORMAL
581;caracteres;NORMAL
582;caracteriza;NORMAL
583;característica;NORMAL
584;características;NORMAL
585;caras;NORMAL
586;carbono;NORMAL
587;carbón;NORMAL
588;cardenal;NORMAL
589;carece;NORMAL
590;carga;NORMAL
591;cargo;NORMAL
592;cargos;NORMAL
593;caribe;NORMAL
594;cariño;NORMAL
595;carlos;NORMAL
596;carmen;NORMAL
597;carne;NORMAL
598;carnes;NORMAL
599;caro;NORMAL
600;carolina;NORMAL
601;carrera;NORMAL
602;carreras;NORMAL
603;carretera;NORMAL
604;carreteras;NORMAL
605;carro;NORMAL
606;carta;NORMAL
607;cartas;NORMAL
608;cartel;NORMAL
609;cartera;NORMAL
610;carácter;NORMAL
611;casa;NORMAL
612;casado;NORMAL
613;casas;NORMAL
614;casi;NORMAL
615;caso;NORMAL
616;casos;NORMAL
617;castellano;NORMAL
618;castigo;NORMAL
619;castilla;NORMAL
620;castillo;NORMAL
621;castro;NORMAL
622;catalana;NORMAL
623;catalanes;NORMAL
624;cataluña;NORMAL
625;catalán;NORMAL
626;catedral;NORMAL
627;categoría;NORMAL
628;categorías;NORMAL
629;católica;NORMAL
630;católicos;NORMAL
631;causa;NORMAL
632;causas;NORMAL
633;cayó;NORMAL
634;caza;NORMAL
635;caída;NORMAL
636;caído;NORMAL
637;cebolla;NORMAL
638;celebra;NORMAL
639;celebración;NORMAL
640;celebrado;NORMAL
641;celebrar;NORMAL
642;celebró;NORMAL
643;celular;NORMAL
644;cementerio;NORMAL
645;cena;NORMAL
646;censura;NORMAL
647;central;NORMAL
648;centrales;NORMAL
649;centro;NORMAL
650;centros;NORMAL
651;centímetros;NORMAL
652;cerca;NORMAL
653;cercana;NORMAL
654;cercano;NORMAL
655;cerebro;NORMAL
656;ceremonia;NORMAL
657;cero;NORMAL
658;cerrada;NORMAL
659;cerrado;NORMAL
660;cerrar;NORMAL
661;cerró;NORMAL
662;certeza;NORMAL
663;cerveza;NORMAL
664;chica;NORMAL
665;chicas;NORMAL
666;chico;NORMAL
667;chicos;NORMAL
668;chile;NORMAL
669;chileno;NORMAL
670;china;NORMAL
671;chino;NORMAL
672;choque;NORMAL
673;chávez;NORMAL
674;ciclo;NORMAL
675;cielo;NORMAL
676;ciencia;NORMAL
677;ciencias;NORMAL
678;científica;NORMAL
679;científico;NORMAL
680;científicos;NORMAL
681;cierra;NORMAL
682;cierre;NORMAL
683;cierta;NORMAL
684;ciertamente;NORMAL
685;cierto;NORMAL
686;cifra;NORMAL
687;cifras;NORMAL
688;cigarrillo;NORMAL
689;cine;NORMAL
690;cinta;NORMAL
691;cintura;NORMAL
692;circuito;NORMAL
693;circulación;NORMAL
694;circular;NORMAL
695;circunstancia;NORMAL
696;circunstancias;NORMAL
697;cirugía;NORMAL
698;cita;NORMAL
699;citada;NORMAL
700;citado;NORMAL
701;ciu;NORMAL
702;ciudad;NORMAL
703;ciudadano;NORMAL
704;ciudadanos;NORMAL
705;ciudadanía;NORMAL
706;ciudades;NORMAL
707;civil;NORMAL
708;civiles;NORMAL
709;civilización;NORMAL
710;clara;NORMAL
711;claramente;NORMAL
712;claras;NORMAL
713;claridad;NORMAL
714;claro;NORMAL
715;clase;NORMAL
716;clases;NORMAL
717;clasificación;NORMAL
718;clave;NORMAL
719;claves;NORMAL
720;cliente;NORMAL
721;clientes;NORMAL
722;clima;NORMAL
723;clinton;NORMAL
724;club;NORMAL
725;clubes;NORMAL
726;clásica;NORMAL
727;clásico;NORMAL
728;clásicos;NORMAL
729;clínica;NORMAL
730;cm;NORMAL
731;coalición;NORMAL
732;cobertura;NORMAL
733;cobre;NORMAL
734;coca;NORMAL
735;cocción;NORMAL
736;coche;NORMAL
737;coches;NORMAL
738;cocina;NORMAL
739;coinciden;NORMAL
740;cola;NORMAL
741;colaboración;NORMAL
742;colaboradores;NORMAL
743;colección;NORMAL
744;colectiva;NORMAL
745;colectivo;NORMAL
746;colectivos;NORMAL
747;colegas;NORMAL
748;colegio;NORMAL
749;colegios;NORMAL
750;coloca;NORMAL
751;colocar;NORMAL
752;colombia;NORMAL
753;colombiano;NORMAL
754;colonia;NORMAL
755;colonial;NORMAL
756;color;NORMAL
757;colores;NORMAL
758;columna;NORMAL
759;colón;NORMAL
760;com;NORMAL
761;comandante;NORMAL
762;comando;NORMAL
763;combate;NORMAL
764;combatir;NORMAL
765;combinación;NORMAL
766;combustible;NORMAL
767;comedia;NORMAL
768;comedor;NORMAL
769;comenta;NORMAL
770;comentario;NORMAL
771;comentarios;NORMAL
772;comentó;NORMAL
773;comenzado;NORMAL
774;comenzar;NORMAL
775;comenzaron;NORMAL
776;comenzó;NORMAL
777;comer;NORMAL
778;comercial;NORMAL
779;comerciales;NORMAL
780;comerciantes;NORMAL
781;comercio;NORMAL
782;cometido;NORMAL
783;comicios;NORMAL
784;comida;NORMAL
785;comidas;NORMAL
786;comienza;NORMAL
787;comienzan;NORMAL
788;comienzo;NORMAL
789;comienzos;NORMAL
790;comisario;NORMAL
791;comisiones;NORMAL
792;comisión;NORMAL
793;comité;NORMAL
794;comparación;NORMAL
795;compartir;NORMAL
796;compañero;NORMAL
797;compañeros;NORMAL
798;compañía;NORMAL
799;compañías;NORMAL
800;competencia;NORMAL
801;competencias;NORMAL
802;compleja;NORMAL
803;complejidad;NORMAL
804;complejo;NORMAL
805;complejos;NORMAL
806;completa;NORMAL
807;completamente;NORMAL
808;completo;NORMAL
809;complicado;NORMAL
810;componente;NORMAL
811;componentes;NORMAL
812;comportamiento;NORMAL
813;composición;NORMAL
814;compositor;NORMAL
815;compra;NORMAL
816;comprar;NORMAL
817;comprende;NORMAL
818;comprender;NORMAL
819;comprensión;NORMAL
820;comprobar;NORMAL
821;compromiso;NORMAL
822;compromisos;NORMAL
823;compuesto;NORMAL
824;comunes;NORMAL
825;comunicaciones;NORMAL
826;comunicación;NORMAL
827;comunicado;NORMAL
828;comunidad;NORMAL
829;comunidades;NORMAL
830;comunista;NORMAL
831;comunistas;NORMAL
832;común;NORMAL
833;concejal;NORMAL
834;concentración;NORMAL
835;concepción;NORMAL
836;concepto;NORMAL
837;conceptos;NORMAL
838;concesión;NORMAL
839;conciencia;NORMAL
840;concierto;NORMAL
841;conciertos;NORMAL
842;concluir;NORMAL
843;conclusiones;NORMAL
844;conclusión;NORMAL
845;concluye;NORMAL
846;concluyó;NORMAL
847;concreta;NORMAL
848;concretamente;NORMAL
849;concretas;NORMAL
850;concreto;NORMAL
851;concretos;NORMAL
852;concurso;NORMAL
853;conde;NORMAL
854;condena;NORMAL
855;condenado;NORMAL
856;condiciones;NORMAL
857;condición;NORMAL
858;conduce;NORMAL
859;conducir;NORMAL
860;conducta;NORMAL
861;conductas;NORMAL
862;conductor;NORMAL
863;conexión;NORMAL
864;confederación;NORMAL
865;conferencia;NORMAL
866;confianza;NORMAL
867;confirmó;NORMAL
868;conflicto;NORMAL
869;conflictos;NORMAL
870;conforme;NORMAL
871;confusión;NORMAL
872;congreso;NORMAL
873;conjunto;NORMAL
874;conoce;NORMAL
875;conocemos;NORMAL
876;conocen;NORMAL
877;conocer;NORMAL
878;conocida;NORMAL
879;conocidas;NORMAL
880;conocido;NORMAL
881;conocidos;NORMAL
882;conocimiento;NORMAL
883;conocimientos;NORMAL
884;conoció;NORMAL
885;conocía;NORMAL
886;conozco;NORMAL
887;conquista;NORMAL
888;consciente;NORMAL
889;consecuencia;NORMAL
890;consecuencias;NORMAL
891;conseguido;NORMAL
892;conseguir;NORMAL
893;consejero;NORMAL
894;consejo;NORMAL
895;consejos;NORMAL
896;consenso;NORMAL
897;conserva;NORMAL
898;conservación;NORMAL
899;conservador;NORMAL
900;conservar;NORMAL
901;considera;NORMAL
902;consideraba;NORMAL
903;considerable;NORMAL
904;consideraciones;NORMAL
905;consideración;NORMAL
906;considerada;NORMAL
907;considerado;NORMAL
908;consideran;NORMAL
909;considerar;NORMAL
910;considerarse;NORMAL
911;consideró;NORMAL
912;consigo;NORMAL
913;consigue;NORMAL
914;consiguiente;NORMAL
915;consiguió;NORMAL
916;consiste;NORMAL
917;consta;NORMAL
918;constante;NORMAL
919;constantemente;NORMAL
920;constitucional;NORMAL
921;constitución;NORMAL
922;constituye;NORMAL
923;constituyen;NORMAL
924;construcción;NORMAL
925;construido;NORMAL
926;construir;NORMAL
927;consulta;NORMAL
928;consumidor;NORMAL
929;consumidores;NORMAL
930;consumo;NORMAL
931;contaba;NORMAL
932;contacto;NORMAL
933;contactos;NORMAL
934;contado;NORMAL
935;contaminación;NORMAL
936;contar;NORMAL
937;contempla;NORMAL
938;contemplar;NORMAL
939;contemporánea;NORMAL
940;contemporáneo;NORMAL
941;contenido;NORMAL
942;contenidos;NORMAL
943;contestó;NORMAL
944;contexto;NORMAL
945;contiene;NORMAL
946;contienen;NORMAL
947;continente;NORMAL
948;continua;NORMAL
949;continuación;NORMAL
950;continuar;NORMAL
951;continuidad;NORMAL
952;continuo;NORMAL
953;continuó;NORMAL
954;continúa;NORMAL
955;contrario;NORMAL
956;contraste;NORMAL
957;contratación;NORMAL
958;contrato;NORMAL
959;contratos;NORMAL
960;contribuir;NORMAL
961;control;NORMAL
962;controlar;NORMAL
963;contó;NORMAL
964;convencido;NORMAL
965;convención;NORMAL
966;conveniente;NORMAL
967;convenio;NORMAL
968;conversaciones;NORMAL
969;conversación;NORMAL
970;convertido;NORMAL
971;convertir;NORMAL
972;convertirse;NORMAL
973;convicción;NORMAL
974;conviene;NORMAL
975;convierte;NORMAL
976;convirtió;NORMAL
977;convivencia;NORMAL
978;convocatoria;NORMAL
979;cooperación;NORMAL
980;coordinación;NORMAL
981;coordinador;NORMAL
982;copa;NORMAL
983;copia;NORMAL
984;corazón;NORMAL
985;coro;NORMAL
